,key,value,default,level,description,type
0,ABORT_DETACHED_QUERY,false,false,,"If true, Snowflake will automatically abort queries when it detects that the client has disappeared.",BOOLEAN
1,ACCOUNT_LEVEL_FILE_EXTENSIONS_ALLOW_LIST_FOR_PRIVATE_WORKSPACES,,,,"File extensions that are allowed in private workspaces for the account, the parameter is in format: '.ext1, .ext2, .ext3', if the parameter is empty, it means all extensions are allowed",STRING
2,ACCOUNT_LEVEL_FILE_EXTENSIONS_ALLOW_LIST_FOR_SHARED_WORKSPACES,,,,"File extensions that are allowed in shared workspaces for the account, the parameter is in format: '.ext1, .ext2, .ext3', if the parameter is empty, it means all extensions are allowed",STRING
3,ACTIVE_PYTHON_PROFILER,,,,"Which profiler is currently active to analyze user code for Python sprocs. Possible values are ""LINE"" and ""MEMORY"".",STRING
4,AI_SQL_ERROR_HANDLING_USE_FAIL_ON_ERROR,true,true,,"When enabled, old fail on error behavior will be observed",BOOLEAN
5,ALLOWED_SPCS_WORKLOAD_TYPES,ALL,ALL,,"Comma separated list of allowed workload types on SPCS. Valid workload types are as follows: ALL, USER, NOTEBOOK, MODEL_SERVING, STREAMLIT, ML_JOB",STRING
6,ALLOW_BIND_VALUES_ACCESS,true,true,,"Allow any form of bind value access to users. This parameter should be set to false at the ACCOUNT level for customers who want to disable bind value access altogether. Each access path (e.g., BIND_VALUE table function, QUERY_HISTORY, etc.) also has its own parameter guarding access (these parameters have 'and' semantics: both this parameter and the access-path specific parameter must be enabled in order for a user to get access).",BOOLEAN
7,ALLOW_CLIENT_MFA_CACHING,false,false,,Allows client to cache MFA Authentication,BOOLEAN
8,ALLOW_ID_TOKEN,false,false,,Whether the account can have ID Tokens issued,BOOLEAN
9,ALLOW_ROW_TIMESTAMP,false,false,,"Support row timestamp on table. If set on schema level and higher, the callbacks below will not perform table specific validations and not affect existing tables.  New tables will be created with row timestamp enabled.",BOOLEAN
10,APPSTREAM_IP_LIST,'54.151.111.109','54.151.111.109',,List of IPs used by Appstream to access customer accounts.,STRING
11,AUTOCOMMIT,true,true,,"The autocommit property determines whether is statement should to be implicitly
wrapped within a transaction or not. If autocommit is set to true, then a 
statement that requires a transaction is executed within a transaction 
implicitly. If autocommit is off then an explicit commit or rollback is required
to close a transaction. The default autocommit value is true.",BOOLEAN
12,AUTOCOMMIT_API_SUPPORTED,true,true,,"Whether autocommit feature is enabled for this client. This parameter is for
Snowflake use only.",BOOLEAN
13,BASE_LOCATION_PREFIX,,,,The base location prefix for managed or converted Iceberg table data relative to the Iceberg tables' external volume active storage location,STRING
